brand,code,name,hex
DMC,775,Baby Blue Very Light,#D9EBF1
DMC,3841,Baby Blue Pale,#CDDFED
DMC,3325,Baby Blue Light,#B8D2E6
DMC,3755,Baby Blue,#92B4CE
DMC,334,Baby Blue Medium,#739FC1
DMC,322,Baby Blue Dark,#5A8FB8
DMC,312,Baby Blue Very Dark,#35668B
DMC,803,Baby Blue Ultra Very Dark,#2C597C
DMC,336,Navy Blue,#253B73
DMC,823,Navy Blue Dark,#213063
DMC,939,Navy Blue Very Dark,#1B2853
DMC,3753,Antique Blue Ultra Very Light,#DBE2E9
DMC,3752,Antique Blue Very Light,#C7D1DB
DMC,932,Antique Blue Light,#A2B5C6
DMC,931,Antique Blue Medium,#6A859E
DMC,930,Antique Blue Dark,#455C71
DMC,3750,Antique Blue Very Dark,#384C5E
DMC,828,Sky Blue Very Light,#C5E8ED
DMC,3761,Sky Blue Light,#ACD8E2
DMC,519,Sky Blue,#7EB1C8
DMC,518,Wedgewood Light,#4F93A7
DMC,3760,Wedgewood Medium,#3E85A2
DMC,517,Wedgewood Dark,#3B768F
DMC,3842,Wedgewood Very Dark,#32667C
DMC,311,Wedgewood Ultra Very Dark,#1C5066
DMC,747,Peacock Blue Very Light,#E5FCFD
DMC,3766,Peacock Blue Light,#99CFD9
DMC,807,Peacock Blue,#64ABBA
DMC,806,Peacock Blue Dark,#3D95A5
DMC,3765,Peacock Blue Very Dark,#347F8C
DMC,3811,Turquoise Very Light,#BCE3E6
DMC,598,Turquoise Light,#90C3CC
DMC,597,Turquoise,#5BA3B3
DMC,3810,Turquoise Dark,#488E9A
DMC,3809,Turquoise Vy Dark,#3F7C85
DMC,3808,Turquoise Ultra Very Dark,#366970
DMC,928,Gray Green Very Light,#DDE3E3
DMC,927,Gray Green Light,#BDCBCB
DMC,926,Gray Green Medium,#98AEAE
DMC,3768,Gray Green Dark,#657F7F
DMC,924,Gray Green Vy Dark,#566A6A
DMC,3849,Teal Green Light,#52B3AE
DMC,3848,Teal Green Medium,#419392
DMC,3847,Teal Green Dark,#347D75
DMC,964,Sea Green Light,#A9E2D8
DMC,959,Sea Green Medium,#59C7B4
DMC,958,Sea Green Dark,#3EB6A1
DMC,3812,Sea Green Very Dark,#2F8C84
DMC,3851,Green Bright Light,#49B3A1
DMC,943,Green Bright Medium,#3D9384
DMC,3850,Green Bright Dark,#378477
DMC,993,Aquamarine Very Light,#90C0B4
DMC,992,Aquamarine Light,#6FAE9F
DMC,3814,Aquamarine,#508B7D
DMC,991,Aquamarine Dark,#477B6E
DMC,966,Jade Ultra Very Light,#B9D7C0
DMC,564,Jade Very Light,#A7CDAF
DMC,563,Jade Light,#8FC098
DMC,562,Jade Medium,#53976A
DMC,505,Jade Green,#338362
DMC,3817,Celadon Green Light,#99C3AA
DMC,3816,Celadon Green,#65A57D
DMC,163,Celadon Green Medium,#4D8361
DMC,3815,Celadon Green Dark,#477759
DMC,561,Celadon Green VD,#2C6A45
DMC,504,Blue Green Very Light,#C4DECC
DMC,3813,Blue Green Light,#B2D4BD
DMC,503,Blue Green Medium,#7BAC94
DMC,502,Blue Green,#5B9071
DMC,501,Blue Green Dark,#396F52
DMC,500,Blue Green Very Dark,#044D33
DMC,955,Nile Green Light,#A2D6AD
DMC,954,Nile Green,#88BA91
DMC,913,Nile Green Medium,#6DAB77
DMC,912,Emerald Green Light,#1B9D6B
DMC,911,Emerald Green Medium,#189065
DMC,910,Emerald Green Dark,#187E56
DMC,909,Emerald Green Very Dark,#156F49
DMC,3818,Emerald Green Ultra Very Dark,#115A3B
DMC,369,Pistachio Green Very Light,#D7EDCC
DMC,368,Pistachio Green Light,#A6C298
DMC,320,Pistachio Green Medium,#69885A
DMC,367,Pistachio Green Dark,#617A52
DMC,319,Pistachio Grn Very Dark,#205F2E
DMC,890,Pistachio Grn Ultra Very Dark,#184923
DMC,164,Forest Green Light,#C8D8B8
DMC,989,Forest Green,#8DA675
DMC,988,Forest Green Medium,#738B5B
DMC,987,Forest Green Dark,#587141
DMC,986,Forest Green Very Dark,#405230
DMC,772,Yellow Green Very Light,#E4ECD4
DMC,3348,Yellow Green Light,#CCD9B1
DMC,3347,Yellow Green Medium,#71935C
DMC,3346,Hunter Green,#406A3A
DMC,3345,Hunter Green Dark,#1B5915
DMC,895,Hunter Green Very Dark,#1B5300
DMC,704,Chartreuse Bright,#9ECF34
DMC,703,Chartreuse,#7BB547
DMC,702,Kelly Green,#47A72F
DMC,701,Green Light,#3F8F29
DMC,700,Green Bright,#07731B
DMC,699,Green,#056517
DMC,907,Parrot Green Light,#C7E666
DMC,906,Parrot Green Medium,#7FB335
DMC,905,Parrot Green Dark,#628A28
DMC,904,Parrot Green Very Dark,#557822
DMC,472,Avocado Green Ultra Light,#D8E498
DMC,471,Avocado Grn Very Light,#AEBF79
DMC,470,Avocado Grn Light,#94AB4F
DMC,469,Avocado Green,#72843C
DMC,937,Avocado Green Medium,#627133
DMC,936,Avocado Green Very Dark,#4C5826
DMC,935,Avocado Green Dark,#424D21
DMC,934,Avocado Grn Black,#313919
DMC,523,Fern Green Light,#ABB197
DMC,3053,Green Gray,#9CA482
DMC,3052,Green Gray Medium,#889268
DMC,3051,Green Gray Dark,#5F6648
DMC,524,Fern Green Very Light,#C4CDAC
DMC,522,Fern Green,#969E7E
DMC,520,Fern Green Dark,#666D4F
DMC,3364,Pine Green,#83975F
DMC,3363,Pine Green Medium,#728256
DMC,3362,Pine Green Dark,#5E6B47
DMC,165,Moss Green Very Light,#EFF4A4
DMC,3819,Moss Green Light,#E0E868
DMC,166,Moss Green Medium Light,#C0C840
DMC,581,Moss Green,#A7AE38
DMC,580,Moss Green Dark,#888D33
DMC,734,Olive Green Light,#C7C077
DMC,733,Olive Green Medium,#BCB34C
DMC,732,Olive Green,#948C36
DMC,731,Olive Green Dark,#938B37
DMC,730,Olive Green Very Dark,#827B30
DMC,3013,Khaki Green Light,#B9B982
DMC,3012,Khaki Green Medium,#A6A75D
DMC,3011,Khaki Green Dark,#898A58
DMC,372,Mustard Light,#CCB784
DMC,371,Mustard,#BFA671
DMC,370,Mustard Medium,#B89D64
DMC,834,Golden Olive Very Light,#DBBE7F
DMC,833,Golden Olive Light,#C8AB6C
DMC,832,Golden Olive,#BD9B51
DMC,831,Golden Olive Medium,#AA8F56
DMC,830,Golden Olive Dark,#8D784B
DMC,829,Golden Olive Very Dark,#7E6B42
DMC,613,Drab Brown Very Light,#DCC4AA
DMC,612,Drab Brown Light,#BC9A78
DMC,611,Drab Brown,#967656
DMC,610,Drab Brown Dark,#796047
DMC,3047,Yellow Beige Light,#E7D6C1
DMC,3046,Yellow Beige Medium,#D8BC9A
DMC,3045,Yellow Beige Dark,#BC966A
DMC,167,Yellow Beige Very Dark,#A77C49
DMC,746,Off White,#FCFCEE
DMC,677,Old Gold Very Light,#F5ECCB
DMC,422,Hazelnut Brown Light,#C69F7B
DMC,3828,Hazelnut Brown,#B78B61
DMC,420,Hazelnut Brown Dark,#A07042
DMC,869,Hazelnut Brown Very Dark,#835E39
DMC,728,Topaz,#E4B468
DMC,783,Topaz Medium,#CE9124
DMC,782,Topaz Dark,#AE7720
DMC,781,Topaz Very Dark,#A26D20
DMC,780,Topaz Ultra Very Dark,#94631A
DMC,676,Old Gold Light,#E5CE97
DMC,729,Old Gold Medium,#D0A53E
DMC,680,Old Gold Dark,#BC8D0E
DMC,3829,Old Gold Vy Dark,#A98204
DMC,3822,Straw Light,#F6DC98
DMC,3821,Straw,#F3CE75
DMC,3820,Straw Dark,#DFB65F
DMC,3852,Straw Very Dark,#CD9D37
DMC,445,Lemon Light,#FFFB8B
DMC,307,Lemon,#FDED54
DMC,973,Canary Bright,#FFE300
DMC,444,Lemon Dark,#FFD600
DMC,3078,Golden Yellow Very Light,#FDF9CD
DMC,727,Topaz Very Light,#FFF1AF
DMC,726,Topaz Light,#FDD755
DMC,725,Topaz Medium Light,#FFC840
DMC,972,Canary Deep,#FFB515
DMC,745,Yellow Pale Light,#FFE9AD
DMC,744,Yellow Pale,#FFE793
DMC,743,Yellow Medium,#FED376
DMC,742,Tangerine Light,#FFBF57
DMC,741,Tangerine Medium,#FFA32B
DMC,740,Tangerine,#FF8B00
DMC,970,Pumpkin Light,#F78B13
DMC,971,Pumpkin,#F67F00
DMC,947,Burnt Orange,#FF7B4D
DMC,946,Burnt Orange Medium,#EB6307
DMC,900,Burnt Orange Dark,#D15807
DMC,967,Apricot Very Light,#FFDED5
DMC,3824,Apricot Light,#FECDC2
DMC,3341,Apricot,#FCAB98
DMC,3340,Apricot Medium,#FF836F
DMC,608,Burnt Orange Bright,#FD5D35
DMC,606,Orange Red Bright,#FA3203
DMC,951,Tawny Light,#FFE2CF
DMC,3856,Mahogany Ultra Very Light,#FFD3B5
DMC,722,Orange Spice Light,#F7976F
DMC,721,Orange Spice Medium,#F27842
DMC,720,Orange Spice Dark,#E55C1F
DMC,3825,Pumpkin Pale,#FDBD96
DMC,922,Copper Light,#E27323
DMC,921,Copper,#C66218
DMC,920,Copper Medium,#AC5414
DMC,919,Red Copper,#A64510
DMC,918,Red Copper Dark,#82340A
DMC,3770,Tawny Vy Light,#FFEEE3
DMC,945,Tawny,#FBD5BB
DMC,402,Mahogany Very Light,#F7A777
DMC,3776,Mahogany Light,#CF7939
DMC,301,Mahogany Medium,#B35F2B
DMC,400,Mahogany Dark,#8F430F
DMC,300,Mahogany Very Dark,#6F2F00
DMC,3823,Yellow Ultra Pale,#FFFDE3
DMC,3855,Autumn Gold Light,#FAD396
DMC,3854,Autumn Gold Medium,#F2AF68
DMC,3853,Autumn Gold Dark,#F29746
DMC,3827,Golden Brown Pale,#F7BB77
DMC,977,Golden Brown Light,#DC9C56
DMC,976,Golden Brown Medium,#C28142
DMC,3826,Golden Brown,#AD7239
DMC,975,Golden Brown Dark,#914F12
DMC,948,Peach Very Light,#FEE7DA
DMC,754,Peach Light,#F7CBBF
DMC,3771,Terra Cotta Ultra Very Light,#F4BBA9
DMC,758,Terra Cotta Very Light,#EEAA9B
DMC,3778,Terra Cotta Light,#D98978
DMC,356,Terra Cotta Medium,#C56A5B
DMC,3830,Terra Cotta,#BC5544
DMC,355,Terra Cotta Dark,#984436
DMC,3777,Terra Cotta Very Dark,#863022
DMC,3779,Rosewood Ultra Very Light,#F8CAC8
DMC,3859,Rosewood Light,#BA8B7C
